user_id,success,error,latency_seconds,persona,confidence,signal_count,education_count,offer_count,window_days
7f6bf62c-a1c1-4b96-baab-d9f2850b7073,True,,0.03617125004529953,high_utilization,0.98,4,3,0,30
bdd640fb-0667-4ad1-9c80-317fa3b1799d,True,,0.0030077920528128743,high_utilization,0.98,3,3,0,30
5d1cd4f1-3422-44ff-b2ca-496648bfb6ba,True,,0.0024728330317884684,high_utilization,0.98,4,3,0,30
418d10b3-f287-4924-9dbb-5fd24b678c95,True,,0.00212608405854553,high_utilization,0.98,3,3,0,30
1b6e6353-8d6e-4e62-88c6-7501b45f252f,True,,0.001827874919399619,high_utilization,0.98,3,3,0,30
9b5c4685-dff7-41b5-9994-37b73c37fd4e,True,,0.0019496669992804527,high_utilization,0.75,4,3,0,30
260e38a1-99a9-4d5b-9514-e24d6617a495,True,,0.0019246248994022608,high_utilization,0.98,3,3,0,30
2a27a96c-f4f1-464d-88da-7e187fc0e455,True,,0.0019038330065086484,high_utilization,0.98,3,3,0,30
5e36316d-3d7a-46a5-bff6-a3fa7c9f62d9,True,,0.001773166935890913,high_utilization,0.65,3,3,0,30
0d647ddc-32eb-46a2-b66d-262f2ed4f03e,True,,0.001774249947629869,high_utilization,0.98,3,3,0,30
b9a5d4d0-4237-41f1-bdac-dc5e20c0f275,True,,0.0020648339996114373,high_utilization,0.98,3,3,0,30
d575ef18-535a-4e7a-aa7a-a9ed24550113,True,,0.0018353330669924617,high_utilization,0.98,3,3,0,30
5564248f-6dc7-47c8-b4d3-4a042f0298cf,True,,0.0017863750690594316,high_utilization,0.98,3,3,0,30
6dc50136-1d10-40ee-9cf4-30dc2812f1d3,True,,0.0017983330180868506,high_utilization,0.98,3,3,0,30
5256f928-bea8-4e9f-a911-fd6d0d586ee2,True,,0.0018838749965652823,high_utilization,0.98,3,3,0,30
50926491-582f-48cc-a9ee-915371c50017,True,,0.0018230000277981162,high_utilization,0.65,3,3,0,30
8ead3242-77ba-4b10-bc2b-836cbfd6277e,True,,0.0019703750731423497,high_utilization,0.65,4,3,0,30
ed32e6ce-015c-4370-b2bb-deeb4e4746cd,True,,0.0016745420871302485,high_utilization,0.98,3,3,0,30
7c06d533-eeb7-4981-91fa-714407ee522e,True,,0.0017706670332700014,high_utilization,0.98,3,3,0,30
5d48f4d8-f66b-42ae-9af9-7c9ed5b21bf1,True,,0.0018580000614747405,high_utilization,0.98,3,3,0,30
87c6c8f8-cc3f-4853-a3fc-f9fa35292a32,True,,0.002039249986410141,high_utilization,0.98,4,3,0,30
0b58c283-d3ef-4660-bc9c-756bcb062eaf,True,,0.0016687921015545726,high_utilization,0.9,3,3,0,30
0adbb968-70a1-4c89-ac71-8ffe8d52fdce,True,,0.00164583302102983,high_utilization,0.98,3,3,0,30
7d21b934-8f65-49e4-bd76-5345867d28bc,True,,0.002469541970640421,high_utilization,0.98,4,3,0,30
7ef8d75c-d746-4c32-aa5a-5818dfccd845,True,,0.0019802500028163195,high_utilization,0.65,3,3,0,30
2560a5c5-3cf4-42fb-992a-a26cff25b9d2,True,,0.0018403750145807862,high_utilization,0.98,3,3,0,30
d29e8c00-bb99-4a58-aa49-8fca76a6b248,True,,0.0017729169921949506,high_utilization,0.9500000000000001,4,3,0,30
f17bd0e1-a704-47ed-a24f-b5b4e862f7bc,True,,0.0019167920108884573,high_utilization,0.9500000000000001,3,3,0,30
a3d224f8-47a2-446a-90da-850c6a5e54f9,True,,0.0022968329722061753,high_utilization,0.65,3,3,0,30
7ccbcc75-3e7d-4430-969b-07123f9d4556,True,,0.0018894999520853162,high_utilization,0.65,3,3,0,30
9ddb6fea-9bd7-471c-976b-1a33562e121f,True,,0.0018998340237885714,high_utilization,0.65,3,3,0,30
03581581-cb99-44ec-84ac-81f5ebdee85c,True,,0.0016462079947814345,high_utilization,0.9500000000000001,3,3,0,30
a9646f0c-dfc8-43be-93d5-800082d46abe,True,,0.0019437919836491346,high_utilization,0.98,3,3,0,30
98f1c899-7952-4997-a3f3-4a1e0133d52c,True,,0.0019617079524323344,high_utilization,0.98,3,3,0,30
ebf6dd32-56d2-4b12-af5a-7636e8b8d252,True,,0.0017659170553088188,high_utilization,0.98,3,3,0,30
d27960a4-897e-4ce5-8fe3-0b6d3efc5196,True,,0.0018099999288097024,high_utilization,0.98,4,3,0,30
ba2c1329-86b9-456c-94e4-790dc02ac9eb,True,,0.0019019999308511615,high_utilization,0.8500000000000001,3,3,0,30
692bc7c4-495f-4032-a8cb-1211f0b00a51,True,,0.0019769580103456974,high_utilization,0.98,4,3,0,30
640933ec-c68b-451f-84a2-092d2777fe38,True,,0.0018513340037316084,high_utilization,0.65,3,3,0,30
1ae38baa-339e-482b-b2e8-f8bfffdf6588,True,,0.001620040973648429,high_utilization,0.98,3,3,0,30
74307002-ad92-41dd-be5d-75b37892bd2c,True,,0.0017269590171054006,high_utilization,0.65,3,3,0,30
30370fff-7da2-4b48-914d-4890f5dbed2c,True,,0.0018795420182868838,high_utilization,0.98,3,3,0,30
5f4863cf-cbde-4252-b7ea-1118fd369f59,True,,0.002274832921102643,high_utilization,0.98,4,3,0,30
12f3bb9c-a07f-420c-9a5c-e77825ee2658,True,,0.0018458339618518949,high_utilization,0.98,4,3,0,30
fa96a6cf-b13e-40a9-9581-435f4faca9e8,True,,0.0018916669068858027,high_utilization,0.98,3,3,0,30
b12a26d1-795b-4288-ae2b-77ae44295180,True,,0.0019240420078858733,high_utilization,0.98,3,3,0,30
126a2fed-f644-4bf2-a9bc-da630b9b5de8,True,,0.0017804170493036509,high_utilization,0.65,3,3,0,30
265cb9d9-8962-4f6e-929c-93b333c08bf1,True,,0.0017815419705584645,high_utilization,0.9500000000000001,3,3,0,30
2a46397b-c1af-4799-b0e6-db977d5e19bb,True,,0.001664792071096599,high_utilization,0.98,3,3,0,30
9fe2ccad-b96f-4cc9-a03c-9a7dbcc0d0c3,True,,0.0018075000261887908,high_utilization,0.98,3,3,0,30
